RUT_EMPRESA,NOMBRE_EMPRESA,REGIÓN_FAENA,PROVINCIA_FAENA,COMUNA_FAENA,NOMBRE_FAENA,CATEGORÍA_FAENA,REGIÓN_INSTALACIÓN,PROVINCIA_INSTALACIÓN,COMUNA_INSTALACIÓN,NOMBRE_INSTALACIÓN,TIPO_INSTALACIÓN,RECURSO_MINERO,RECURSO_PRINCIPAL,TIPO_RECURSO,NRO_INSTALACIÓN,UTM_NORTE,UTM_ESTE,COTA,HUSO,DATUM,ESTADO,CONCATENAR
76.180.150-3,S. L. M. MABEL DOS PRIMERA DE ARICA,15,ARICA,ARICA,PLANTA MABEL DOS ,Categoría D,15,ARICA,ARICA,PLANTA DE BENTONITA,PLANTA CHANCADO,BENTONITA,ARCILLAS,ROCAS Y MINERALES INDUSTRIALES,120100076 - 5,"7,965,450","364,450",55,19,PSAD-56,ACTIVA,PLANTA MABEL DOS S. L. M. MABEL DOS PRIMERA DE ARICAARICA
76.180.150-3,S. L. M. MABEL DOS PRIMERA DE ARICA,15,ARICA,ARICA,PLANTA MABEL DOS ,Categoría D,15,ARICA,ARICA,ZORRITO DEL 1 AL 2,PLANTA MOLIENDA,BENTONITA,ARCILLAS,ROCAS Y MINERALES INDUSTRIALES,120100027 - 7,"7,965,450","364,450",650,19,PSAD-56,IRREGULAR NO OPERATIVA,
76.228.210-0,S.C. INDUSTRIAL MINERA GEO SINTER LTDA.,15,ARICA,ARICA,PLANTA DE PROCESAMIENTO Y ENVASADO DE BENTONITA,Categoría D,15,ARICA,ARICA,PLANTA,PLANTA MOLIENDA,BENTONITA,ARCILLAS,ROCAS Y MINERALES INDUSTRIALES,120100078 - 1,"7,963,347","362,196",15,19,PSAD-56,ACTIVA,PLANTA DE PROCESAMIENTO Y ENVASADO DE BENTONITAS.C. INDUSTRIAL MINERA GEO SINTER LTDA.ARICA
76.228.210-0,S.C. INDUSTRIAL MINERA GEO SINTER LTDA.,15,ARICA,ARICA,MINA CAMALEON 1 AL 3,Categoría D,15,ARICA,ARICA,MINA,MINA RAJO ABIERTO,BENTONITA,ARCILLAS,ROCAS Y MINERALES INDUSTRIALES,120100077 - 3,"7,963,820","397,700",1230,19,PSAD-56,ACTIVA,MINA CAMALEON 1 AL 3S.C. INDUSTRIAL MINERA GEO SINTER LTDA.ARICA
76.054.133-8,CONCORDIA AGROINDUSTRIAL LTDA.,15,ARICA,ARICA,MINA BERTA 1 al 2,Categoría D,15,ARICA,ARICA,MINA,MINA RAJO ABIERTO,BENTONITA,ARCILLAS,ROCAS Y MINERALES INDUSTRIALES,120100088 - 9,"7,963,950","399,450",1444,19,PSAD-56,ACTIVA,MINA BERTA 1 al 2CONCORDIA AGROINDUSTRIAL LTDA.ARICA
76.054.133-8,CONCORDIA AGROINDUSTRIAL LTDA.,15,ARICA,ARICA,PLANTA DE PROCESAMIENTO DE BENEFICIOS,Categoría D,15,ARICA,ARICA,PLANTA,PLANTA CHANCADO,BENTONITA,ARCILLAS,ROCAS Y MINERALES INDUSTRIALES,120100074 - 9,"7,947,400","368,400",210,19,PSAD-56,ACTIVA,PLANTA DE PROCESAMIENTO DE BENEFICIOSCONCORDIA AGROINDUSTRIAL LTDA.ARICA
96.717.570-6,IMERYS MINERALES ARICA LIMITADA,15,ARICA,ARICA,MINA CAROL,Categoría D,15,ARICA,ARICA,BOTADERO,DEPÓSITO RMM - ESTÉRILES,DIATOMITA,DIATOMITA,ROCAS Y MINERALES INDUSTRIALES,2000064538 - K,"7,960,369","366,051",234,19,PSAD-56,ACTIVA,MINA CAROLIMERYS MINERALES ARICA LIMITADAARICA
96.717.570-6,IMERYS MINERALES ARICA LIMITADA,15,ARICA,ARICA,PLANTA DIATOMEAS,Categoría C,15,ARICA,ARICA,LOGISTICA,CAMPAMENTO,DIATOMITA,DIATOMITA,ROCAS Y MINERALES INDUSTRIALES,2000011276 - 4,"7,963,893","361,707",25,19,PSAD-56,ACTIVA,PLANTA DIATOMEASIMERYS MINERALES ARICA LIMITADAARICA
96.717.570-6,IMERYS MINERALES ARICA LIMITADA,15,ARICA,ARICA,MINA CAROL,Categoría D,15,ARICA,ARICA,CAMPAMENTO,CAMPAMENTO,DIATOMITA,DIATOMITA,ROCAS Y MINERALES INDUSTRIALES,2000064537 - 1,"7,960,266","366,130",230,19,PSAD-56,ACTIVA,MINA CAROLIMERYS MINERALES ARICA LIMITADAARICA
96.717.570-6,IMERYS MINERALES ARICA LIMITADA,15,ARICA,ARICA,PLANTA DIATOMEAS,Categoría C,15,ARICA,ARICA,MINAS,PLANTA CONCENTRADORA,DIATOMITA,DIATOMITA,ROCAS Y MINERALES INDUSTRIALES,110400004 - 1,"7,963,840","361,813",32,19,PSAD-56,ACTIVA,PLANTA DIATOMEASIMERYS MINERALES ARICA LIMITADAARICA
96.717.570-6,IMERYS MINERALES ARICA LIMITADA,15,ARICA,ARICA,PLANTA DIATOMEAS,Categoría C,15,ARICA,ARICA,ADMINISTRACION,ADMINISTRACIÓN - OFICINA,DIATOMITA,DIATOMITA,ROCAS Y MINERALES INDUSTRIALES,120100081 - 1,"7,963,837","361,812",32,19,PSAD-56,ACTIVA,PLANTA DIATOMEASIMERYS MINERALES ARICA LIMITADAARICA
